SCRAPING TIMING | category=Papeles Fotograficos Koala Paper | products=25 | seconds=21.146
SCRAPING TIMING | category=Plotters De Corte | products=15 | seconds=14.338
SCRAPING TIMING | category=Porta Tacos Post It | products=15 | seconds=13.927
SCRAPING TIMING | category=Resaltadores Publicitarios | products=21 | seconds=20.829
SCRAPING TIMING | category=Tecnologia Y Accesorios | products=13 | seconds=12.887
SCRAPING TIMING | stage=category_extraction | categories=24 | products=383 | seconds=399.339
SCRAPING TIMING | stage=consolidation | products=357 | seconds=0.000
SCRAPING TIMING | stage=images | products=357 | seconds=0.654
SCRAPING TIMING | stage=mapping | products=357 | seconds=0.008
SCRAPING TIMING | stage=catalog_sync | products=357 | seconds=0.011
SCRAPING TIMING | stage=sync_total | products=357 | seconds=0.676
SCRAPING TIMING | stage=run_total | categories=24 | seconds=400.017
SCRAPING TIMING | category=Jarros | products=1 | seconds=0.000
SCRAPING TIMING | category=Promocionales | products=1 | seconds=0.000
SCRAPING TIMING | stage=category_extraction | categories=2 | products=2 | seconds=0.003
SCRAPING TIMING | stage=consolidation | products=1 | seconds=0.000
SCRAPING TIMING | stage=images | products=1 | seconds=0.000
SCRAPING TIMING | stage=mapping | products=1 | seconds=0.000
SCRAPING TIMING | stage=catalog_sync | products=1 | seconds=0.000
SCRAPING TIMING | stage=sync_total | products=1 | seconds=0.002
SCRAPING TIMING | category=categoria | products=2 | seconds=0.000
SCRAPING TIMING | stage=persistence | products=2 | seconds=0.000
SCRAPING TIMING | stage=sync_total | products=2 | seconds=0.000
SCRAPING TIMING | stage=run_start | categories=2
SCRAPING TIMING | stage=run_total | categories=2 | seconds=0.001
SCRAPING TIMING | stage=category_discovery | categories=24 | seconds=2.099
SCRAPING TIMING | stage=run_start | categories=24
SCRAPING TIMING | category=Articulos De Oficina | products=12 | seconds=14.830
SCRAPING TIMING | category=Articulos De Playa | products=5 | seconds=11.188
SCRAPING TIMING | category=Articulos De Antiestres | products=25 | seconds=28.414
SCRAPING TIMING | category=Articulos De Escritorio | products=25 | seconds=28.829
SCRAPING TIMING | category=Bolsas Mochilas | products=3 | seconds=7.272
SCRAPING TIMING | category=Cocina Mesa Y Hogar | products=18 | seconds=23.373
SCRAPING TIMING | category=Articulos Personales | products=17 | seconds=26.262
SCRAPING TIMING | category=Enmicadoras Laminadoras | products=9 | seconds=16.636
SCRAPING TIMING | category=Estuches | products=8 | seconds=12.422
SCRAPING TIMING | category=Impresoras Y Consumible Fotograficas Termicas | products=14 | seconds=17.298
SCRAPING TIMING | category=Kits De Herramientas | products=2 | seconds=7.076
SCRAPING TIMING | category=Insumos De Sublimacion | products=25 | seconds=26.428
SCRAPING TIMING | category=Lapiceros Ecologicos | products=4 | seconds=8.221
SCRAPING TIMING | category=Jarros Mug | products=19 | seconds=21.814
SCRAPING TIMING | category=Lapiceros Metalicos | products=10 | seconds=13.537
SCRAPING TIMING | category=Llaveros Y Accesorios | products=25 | seconds=29.142
SCRAPING TIMING | category=Maquinas De Sublimacion | products=25 | seconds=30.143
SCRAPING TIMING | category=Micas Para Enmicados | products=25 | seconds=28.179
SCRAPING TIMING | category=Plotters De Corte | products=15 | seconds=18.013
SCRAPING TIMING | category=Papeleria Grafipapel | products=23 | seconds=27.190
SCRAPING TIMING | category=Papeles Fotograficos Koala Paper | products=25 | seconds=28.446
SCRAPING TIMING | category=Porta Tacos Post It | products=15 | seconds=18.577
SCRAPING TIMING | category=Tecnologia Y Accesorios | products=13 | seconds=16.107
SCRAPING TIMING | category=Resaltadores Publicitarios | products=21 | seconds=23.229
SCRAPING TIMING | stage=category_extraction | categories=24 | products=383 | seconds=164.452
SCRAPING TIMING | stage=consolidation | products=357 | seconds=0.000
SCRAPING TIMING | stage=images | products=357 | seconds=0.562
SCRAPING TIMING | stage=mapping | products=357 | seconds=0.004
SCRAPING TIMING | stage=catalog_sync | products=357 | seconds=0.009
SCRAPING TIMING | stage=sync_total | products=357 | seconds=0.577
SCRAPING TIMING | stage=run_total | categories=24 | seconds=165.031
SCRAPING TIMING | category=Jarros | products=1 | seconds=0.000
SCRAPING TIMING | category=Promocionales | products=1 | seconds=0.000
SCRAPING TIMING | stage=category_extraction | categories=2 | products=2 | seconds=0.005
SCRAPING TIMING | stage=consolidation | products=1 | seconds=0.000
SCRAPING TIMING | stage=images | products=1 | seconds=0.000
SCRAPING TIMING | stage=mapping | products=1 | seconds=0.000
SCRAPING TIMING | stage=catalog_sync | products=1 | seconds=0.000
SCRAPING TIMING | stage=sync_total | products=1 | seconds=0.004
SCRAPING TIMING | category=categoria | products=2 | seconds=0.000
SCRAPING TIMING | stage=persistence | products=2 | seconds=0.000
SCRAPING TIMING | stage=sync_total | products=2 | seconds=0.000
SCRAPING TIMING | stage=run_start | categories=2
SCRAPING TIMING | stage=run_total | categories=2 | seconds=0.001
SCRAPING TIMING | category=Jarros | products=1 | seconds=0.000
SCRAPING TIMING | category=Promocionales | products=1 | seconds=0.000
SCRAPING TIMING | stage=category_extraction | categories=2 | products=2 | seconds=0.006
